S1_Temp,S2_Temp,S3_Temp,S4_Temp,S1_Light,S2_Light,S3_Light,S4_Light,S1_Sound,S2_Sound,S3_Sound,S4_Sound,S5_CO2,S5_CO2_Slope,S6_PIR,S7_PIR,Room_Occupancy_Count
25.19,24.88,24.69,25.63,123.0,35.0,57.0,44.0,0.07,0.24,0.06,0.06,410.0,0.923076923,0.0,0.0,1.0
25.19,24.94,24.69,25.56,123.0,35.0,58.0,44.0,0.07,0.05,0.05,0.06,415.0,0.961538462,0.0,0.0,1.0
25.19,24.88,24.69,25.56,123.0,35.0,58.0,44.0,0.08,0.05,0.05,0.06,420.0,1.026923077,0.0,0.0,1.0
25.19,24.94,24.69,25.56,123.0,35.0,57.0,43.0,0.08,0.05,0.06,0.06,425.0,1.115384615,0.0,0.0,1.0
25.19,24.94,24.75,25.56,123.0,35.0,57.0,44.0,1.27,0.06,0.11,0.13,425.0,1.176923077,0.0,0.0,1.0
25.19,24.94,24.69,25.63,123.0,35.0,59.0,45.0,0.08,0.26,0.21,0.07,420.0,1.215384615,0.0,0.0,1.0
25.19,24.94,24.75,25.63,123.0,36.0,59.0,45.0,0.1,0.08,0.09,0.06,420.0,1.234615385,0.0,0.0,1.0
25.19,24.94,24.69,25.63,123.0,35.0,59.0,45.0,0.46,0.16,0.21,0.11,420.0,1.234615385,1.0,0.0,1.0
25.19,24.88,24.69,25.63,123.0,35.0,59.0,45.0,0.42,0.19,0.16,0.09,420.0,1.215384615,0.0,0.0,1.0
25.19,24.94,24.75,25.63,124.0,35.0,60.0,46.0,0.17,0.05,0.06,0.06,425.0,1.173076923,0.0,0.0,1.0
25.19,24.94,24.75,25.63,124.0,36.0,61.0,47.0,1.44,0.12,0.15,0.09,430.0,1.2,0.0,0.0,1.0
25.25,24.94,24.75,25.63,124.0,36.0,61.0,46.0,0.76,0.27,0.24,0.13,430.0,1.2,1.0,0.0,1.0
25.25,24.94,24.75,25.63,124.0,36.0,61.0,46.0,0.16,0.06,0.05,0.06,435.0,1.269230769,0.0,0.0,1.0
25.25,24.94,24.75,25.56,124.0,36.0,60.0,46.0,0.09,0.05,0.06,0.06,425.0,1.219230769,0.0,0.0,1.0
25.25,24.94,24.75,25.69,123.0,35.0,59.0,45.0,0.28,0.05,0.07,0.06,425.0,1.15,0.0,0.0,1.0
25.25,24.94,24.75,25.63,123.0,35.0,59.0,45.0,0.07,0.07,0.05,0.07,420.0,1.065384615,0.0,0.0,1.0
25.25,24.94,24.75,25.63,124.0,36.0,60.0,46.0,0.28,0.12,0.11,0.08,420.0,1.019230769,1.0,0.0,1.0
25.25,24.94,24.75,25.63,123.0,35.0,60.0,45.0,0.24,0.11,0.14,0.07,420.0,0.965384615,0.0,0.0,1.0
25.25,24.94,24.75,25.69,123.0,35.0,60.0,45.0,0.93,0.14,0.12,0.08,430.0,0.946153846,1.0,0.0,1.0
25.25,24.94,24.75,25.69,123.0,35.0,60.0,45.0,0.1,0.09,0.1,0.06,435.0,0.953846154,0.0,0.0,1.0
25.25,24.94,24.81,25.63,123.0,35.0,59.0,45.0,0.68,0.12,0.11,0.1,430.0,0.842307692,0.0,0.0,1.0
25.25,24.94,24.75,25.63,123.0,35.0,60.0,45.0,0.94,0.12,0.13,0.06,445.0,0.946153846,0.0,0.0,1.0
25.25,24.94,24.75,25.56,123.0,35.0,59.0,45.0,0.12,0.05,0.06,0.07,440.0,0.976923077,0.0,0.0,1.0
25.25,25.0,24.81,25.63,123.0,35.0,59.0,45.0,0.29,0.08,0.1,0.07,440.0,0.934615385,0.0,0.0,1.0
25.25,24.94,24.81,25.69,124.0,36.0,61.0,47.0,0.83,0.05,0.06,0.08,435.0,0.869230769,0.0,0.0,1.0
25.25,25.0,24.81,25.69,124.0,36.0,62.0,47.0,1.1,0.1,0.09,0.05,430.0,0.738461538,1.0,0.0,1.0
25.25,25.0,24.81,25.63,124.0,36.0,61.0,46.0,0.83,0.1,0.11,0.1,435.0,0.688461538,0.0,0.0,1.0
25.25,25.0,24.81,25.69,123.0,36.0,60.0,45.0,0.48,0.15,0.18,0.11,440.0,0.719230769,1.0,0.0,1.0
25.31,25.0,24.81,25.69,123.0,35.0,60.0,46.0,0.65,0.08,0.11,0.07,445.0,0.830769231,0.0,0.0,1.0
25.31,25.0,24.81,25.63,123.0,35.0,60.0,45.0,0.4,0.06,0.08,0.06,445.0,0.926923077,0.0,0.0,1.0
25.31,25.0,24.81,25.63,124.0,36.0,60.0,45.0,0.49,0.06,0.07,0.07,445.0,0.957692308,0.0,0.0,1.0
25.31,25.0,24.81,25.69,124.0,35.0,60.0,45.0,0.13,0.1,0.09,0.06,445.0,0.969230769,0.0,0.0,1.0
25.31,25.0,24.81,25.75,124.0,36.0,60.0,46.0,0.35,0.05,0.05,0.11,440.0,0.915384615,0.0,0.0,1.0
25.31,25.0,24.81,25.75,124.0,36.0,63.0,48.0,0.17,0.1,0.14,0.06,440.0,0.846153846,0.0,0.0,1.0
25.31,25.0,24.81,25.75,124.0,37.0,64.0,49.0,1.85,0.19,0.15,0.12,445.0,0.857692308,0.0,0.0,1.0
25.31,25.0,24.81,25.69,124.0,37.0,65.0,49.0,0.28,0.08,0.08,0.07,445.0,0.903846154,1.0,0.0,1.0
25.31,25.0,24.81,25.75,123.0,37.0,64.0,49.0,0.36,0.09,0.09,0.09,450.0,0.984615385,1.0,0.0,1.0
25.31,25.25,24.88,25.75,123.0,31.0,61.0,46.0,0.48,0.31,0.53,0.1,450.0,1.1,1.0,1.0,1.0
25.31,25.63,24.81,25.75,124.0,29.0,62.0,46.0,0.51,0.55,0.17,0.12,450.0,1.103846154,1.0,1.0,1.0
25.38,25.44,24.81,25.69,150.0,187.0,63.0,49.0,0.46,0.46,0.21,0.11,450.0,1.088461538,1.0,1.0,2.0
25.38,25.44,24.81,25.75,153.0,216.0,63.0,49.0,0.76,0.74,0.15,0.14,450.0,1.003846154,1.0,1.0,2.0
25.38,25.44,24.88,25.75,155.0,234.0,63.0,49.0,1.77,1.08,0.2,0.08,450.0,0.896153846,1.0,1.0,2.0
25.38,25.44,24.81,25.75,156.0,239.0,64.0,50.0,0.8,0.29,0.1,0.09,445.0,0.719230769,0.0,1.0,2.0
25.38,25.38,24.81,25.81,157.0,241.0,67.0,53.0,0.73,0.24,0.1,0.1,445.0,0.623076923,0.0,1.0,2.0
25.38,25.38,24.88,25.81,157.0,242.0,68.0,54.0,1.14,0.33,0.23,0.17,450.0,0.611538462,0.0,1.0,2.0
25.38,25.44,24.81,25.81,157.0,242.0,69.0,54.0,0.58,0.56,0.25,0.16,450.0,0.538461538,0.0,1.0,2.0
25.38,25.44,24.88,25.69,158.0,243.0,70.0,54.0,0.71,0.68,0.27,0.23,455.0,0.646153846,1.0,0.0,2.0
25.38,25.44,24.81,25.81,157.0,242.0,67.0,53.0,0.44,0.63,0.25,0.1,455.0,0.696153846,1.0,0.0,2.0
25.38,25.31,24.88,25.75,157.0,242.0,68.0,53.0,0.23,0.32,0.13,0.11,450.0,0.688461538,0.0,0.0,2.0
25.38,25.38,24.88,25.75,157.0,241.0,68.0,53.0,2.79,0.41,0.2,0.24,450.0,0.623076923,1.0,0.0,2.0
25.38,25.38,24.88,25.75,157.0,241.0,68.0,53.0,0.54,0.55,0.21,0.18,445.0,0.45,1.0,0.0,2.0
25.38,25.44,24.88,25.75,157.0,240.0,69.0,54.0,2.49,0.67,0.2,0.12,450.0,0.361538462,1.0,0.0,2.0
25.44,25.44,24.88,25.75,157.0,240.0,70.0,54.0,0.47,0.25,0.14,0.11,450.0,0.311538462,1.0,0.0,2.0
25.44,25.38,24.88,25.81,157.0,239.0,70.0,54.0,3.51,0.38,0.22,0.19,450.0,0.303846154,1.0,0.0,2.0
25.44,25.38,24.88,25.81,156.0,239.0,70.0,54.0,0.73,0.81,0.41,0.17,460.0,0.384615385,1.0,0.0,2.0
25.44,25.44,24.88,25.81,157.0,239.0,70.0,54.0,0.63,0.42,0.21,0.15,460.0,0.453846154,0.0,0.0,2.0
25.44,25.5,24.88,25.75,155.0,236.0,70.0,53.0,1.14,0.56,0.32,0.14,475.0,0.65,1.0,1.0,2.0
25.44,25.56,24.88,25.75,155.0,236.0,68.0,53.0,1.02,0.51,0.17,0.17,480.0,0.819230769,1.0,1.0,2.0
25.44,25.5,24.88,25.75,155.0,237.0,69.0,54.0,0.63,0.36,0.18,0.13,480.0,0.957692308,0.0,1.0,2.0
25.44,25.56,24.94,25.75,155.0,236.0,69.0,54.0,1.33,0.78,0.18,0.11,485.0,1.161538462,1.0,1.0,2.0
25.44,25.56,24.94,25.81,155.0,236.0,70.0,54.0,0.17,0.35,0.11,0.07,490.0,1.380769231,0.0,1.0,2.0
25.44,25.56,24.94,25.75,155.0,237.0,71.0,55.0,0.43,0.36,0.21,0.11,500.0,1.707692308,1.0,1.0,2.0
25.5,25.56,24.88,25.81,155.0,237.0,71.0,55.0,1.87,0.56,0.23,0.14,500.0,1.996153846,1.0,1.0,2.0
25.5,25.56,24.88,25.81,155.0,235.0,72.0,54.0,0.73,1.15,0.24,0.17,500.0,2.246153846,0.0,0.0,2.0
25.44,25.56,24.94,25.88,155.0,236.0,71.0,54.0,1.53,1.24,0.36,0.27,500.0,2.457692308,1.0,0.0,2.0
25.44,25.56,24.94,25.81,155.0,235.0,71.0,54.0,2.95,1.27,0.25,0.17,510.0,2.723076923,1.0,1.0,2.0
25.5,25.56,24.94,25.81,155.0,235.0,70.0,54.0,1.78,0.63,0.18,0.08,510.0,2.942307692,1.0,0.0,2.0
25.5,25.56,24.94,25.75,155.0,234.0,70.0,54.0,0.08,0.35,0.07,0.28,515.0,3.111538462,0.0,0.0,2.0
25.44,25.63,24.94,25.81,155.0,234.0,70.0,54.0,0.45,2.12,0.34,0.06,515.0,3.226923077,1.0,0.0,2.0
25.5,25.63,24.94,25.81,155.0,235.0,71.0,55.0,2.01,0.32,0.11,0.09,515.0,3.338461538,0.0,0.0,2.0
25.5,25.63,24.94,25.88,155.0,235.0,72.0,55.0,0.33,0.38,0.1,0.09,520.0,3.446153846,0.0,1.0,2.0
25.5,25.63,24.94,25.81,155.0,235.0,71.0,55.0,0.5,0.49,0.14,0.11,525.0,3.596153846,1.0,1.0,2.0
25.5,25.63,24.94,25.81,155.0,234.0,73.0,56.0,1.02,0.29,0.16,0.13,530.0,3.738461538,1.0,1.0,2.0
25.5,25.56,24.94,25.81,155.0,234.0,72.0,55.0,0.49,0.23,0.19,0.15,540.0,3.865384615,1.0,1.0,2.0
25.5,25.63,24.94,25.81,155.0,235.0,73.0,56.0,0.29,0.51,0.19,0.09,540.0,3.923076923,1.0,0.0,2.0
25.5,25.63,24.94,25.81,155.0,234.0,73.0,56.0,0.33,0.19,0.11,0.13,545.0,3.907692308,1.0,0.0,2.0
25.56,25.63,24.94,25.81,155.0,234.0,73.0,56.0,0.15,0.26,0.22,0.07,545.0,3.865384615,1.0,0.0,2.0
25.56,25.69,25.0,25.94,155.0,234.0,74.0,56.0,0.63,0.15,0.09,0.06,545.0,3.75,0.0,0.0,2.0
25.56,25.69,25.0,25.81,155.0,233.0,73.0,56.0,0.08,0.14,0.06,0.06,550.0,3.607692308,0.0,0.0,2.0
25.5,25.69,24.94,25.81,155.0,233.0,73.0,56.0,0.17,0.14,0.15,0.07,550.0,3.488461538,0.0,0.0,2.0
25.56,25.69,25.0,25.81,155.0,233.0,73.0,56.0,1.81,0.28,0.06,0.1,550.0,3.3,0.0,1.0,2.0
25.56,25.69,25.0,25.81,155.0,233.0,74.0,56.0,0.63,0.42,0.15,0.13,555.0,3.238461538,1.0,1.0,2.0
25.56,25.69,25.0,25.81,155.0,233.0,74.0,57.0,0.68,0.82,0.19,0.12,555.0,3.165384615,1.0,0.0,2.0
25.56,25.75,25.0,25.81,155.0,233.0,74.0,57.0,0.32,0.43,0.16,0.11,555.0,3.034615385,1.0,1.0,2.0
25.56,25.75,25.0,25.81,155.0,233.0,75.0,57.0,1.16,0.27,0.09,0.07,555.0,2.896153846,1.0,1.0,2.0
25.56,25.75,25.0,25.88,155.0,232.0,74.0,57.0,0.45,0.17,0.13,0.14,560.0,2.8,1.0,1.0,1.0
25.56,25.69,25.0,25.88,155.0,233.0,74.0,56.0,0.31,0.5,0.27,0.06,560.0,2.75,1.0,0.0,1.0
25.56,25.75,25.0,25.88,155.0,233.0,74.0,56.0,0.5,0.1,0.11,0.08,560.0,2.653846154,1.0,0.0,2.0
25.56,25.69,25.0,25.88,155.0,232.0,75.0,58.0,1.33,1.54,0.42,0.2,560.0,2.511538462,1.0,1.0,2.0
25.56,25.75,25.0,25.94,155.0,232.0,75.0,58.0,0.54,0.78,0.29,0.21,565.0,2.369230769,1.0,1.0,2.0
25.56,25.75,25.0,25.88,155.0,232.0,75.0,58.0,0.41,1.05,0.29,0.17,570.0,2.323076923,1.0,1.0,2.0
25.56,25.69,25.0,25.94,151.0,232.0,75.0,58.0,2.12,1.03,0.16,0.46,570.0,2.230769231,1.0,1.0,2.0
25.56,25.94,25.0,25.94,155.0,239.0,75.0,58.0,0.44,3.44,0.67,0.36,570.0,2.142307692,1.0,1.0,2.0
25.56,26.38,25.0,25.94,156.0,243.0,75.0,58.0,0.92,1.27,0.65,0.83,580.0,2.103846154,1.0,1.0,2.0
25.56,26.81,25.0,25.94,155.0,242.0,75.0,57.0,0.37,1.96,0.98,0.11,580.0,2.015384615,1.0,1.0,2.0
25.56,26.81,25.06,25.88,155.0,242.0,75.0,56.0,0.55,0.9,0.23,0.32,585.0,1.973076923,1.0,1.0,2.0
25.56,27.0,25.0,25.94,155.0,238.0,74.0,57.0,0.44,0.6,0.49,0.19,590.0,1.976923077,1.0,1.0,2.0
25.56,26.94,25.06,26.0,155.0,243.0,73.0,56.0,0.43,1.03,0.22,0.15,585.0,1.934615385,1.0,1.0,2.0
25.56,27.19,25.06,25.88,156.0,243.0,71.0,57.0,0.37,0.1,0.22,0.06,590.0,1.996153846,0.0,0.0,2.0
25.56,27.25,25.0,25.94,156.0,243.0,74.0,58.0,0.22,0.06,0.06,0.06,590.0,2.019230769,0.0,0.0,2.0
25.56,27.44,25.06,26.0,156.0,244.0,75.0,58.0,0.1,0.05,0.06,0.06,600.0,2.146153846,0.0,0.0,2.0
25.56,27.5,25.06,26.0,157.0,244.0,75.0,58.0,0.09,0.05,0.05,0.06,600.0,2.230769231,0.0,0.0,2.0
25.56,27.56,25.06,26.0,157.0,244.0,75.0,58.0,0.09,0.07,0.08,0.07,595.0,2.226923077,0.0,0.0,2.0
25.56,27.75,25.06,26.0,156.0,244.0,75.0,58.0,0.7,0.1,0.08,0.09,605.0,2.326923077,1.0,0.0,2.0
25.56,27.94,25.06,25.94,157.0,244.0,75.0,59.0,1.93,0.15,0.11,0.06,595.0,2.292307692,1.0,0.0,2.0
25.56,27.69,25.06,26.06,157.0,244.0,77.0,59.0,0.15,0.12,0.06,0.08,595.0,2.223076923,0.0,0.0,2.0
25.56,27.5,25.06,26.0,157.0,244.0,76.0,59.0,0.15,0.6,0.09,0.06,590.0,2.123076923,1.0,0.0,2.0
25.56,27.44,25.06,26.06,156.0,244.0,75.0,59.0,0.26,0.1,0.06,0.09,590.0,1.996153846,1.0,0.0,2.0
25.56,27.56,25.06,26.0,157.0,244.0,76.0,59.0,1.32,0.29,0.08,0.08,590.0,1.842307692,1.0,0.0,2.0
25.56,27.38,25.06,25.94,157.0,244.0,77.0,59.0,0.25,0.3,0.15,0.15,590.0,1.661538462,1.0,0.0,2.0
25.63,27.31,25.06,25.94,157.0,244.0,76.0,59.0,0.48,0.08,0.08,0.07,595.0,1.55,1.0,0.0,2.0
25.63,27.31,25.06,25.94,157.0,244.0,76.0,59.0,0.88,0.12,0.08,0.11,595.0,1.411538462,1.0,0.0,2.0
25.63,27.38,25.06,25.94,157.0,244.0,76.0,59.0,0.86,0.06,0.29,0.17,595.0,1.246153846,0.0,0.0,2.0
25.63,27.38,25.13,25.94,157.0,244.0,77.0,59.0,0.07,0.21,0.2,0.06,600.0,1.1,1.0,0.0,2.0
25.63,27.44,25.06,25.94,157.0,244.0,76.0,59.0,0.07,0.05,0.05,0.06,610.0,1.065384615,0.0,0.0,2.0
25.63,27.38,25.06,25.94,157.0,244.0,78.0,60.0,0.2,0.05,0.06,0.06,605.0,1.0,0.0,0.0,2.0
25.63,27.44,25.06,25.94,157.0,245.0,79.0,60.0,0.74,0.15,0.12,0.13,610.0,0.953846154,1.0,0.0,2.0
25.63,27.56,25.06,25.94,156.0,244.0,79.0,60.0,0.63,0.28,0.2,0.14,615.0,0.923076923,1.0,0.0,2.0
25.63,27.5,25.06,25.94,156.0,244.0,79.0,60.0,0.43,0.42,0.17,0.18,615.0,0.957692308,1.0,0.0,2.0
25.69,27.56,25.06,25.88,157.0,244.0,79.0,60.0,0.79,0.56,0.2,0.16,620.0,1.011538462,0.0,0.0,2.0
25.63,27.5,25.06,25.94,157.0,243.0,80.0,61.0,0.69,0.53,0.2,0.36,625.0,1.130769231,1.0,1.0,2.0
25.63,27.56,25.06,25.94,156.0,244.0,80.0,60.0,1.55,0.77,0.47,0.19,630.0,1.315384615,1.0,1.0,2.0
25.63,27.63,25.13,26.0,156.0,244.0,78.0,60.0,0.54,0.8,0.3,0.14,630.0,1.419230769,1.0,0.0,2.0
25.63,27.63,25.13,25.94,157.0,244.0,79.0,60.0,0.63,0.57,0.18,0.15,630.0,1.538461538,1.0,0.0,2.0
25.63,27.81,25.13,26.0,157.0,244.0,78.0,59.0,0.96,0.64,0.19,0.22,630.0,1.626923077,1.0,1.0,2.0
25.63,28.0,25.13,26.0,156.0,241.0,77.0,59.0,1.05,1.01,0.31,0.21,625.0,1.738461538,0.0,1.0,2.0
25.69,28.19,25.13,26.0,156.0,240.0,76.0,59.0,0.49,0.79,0.24,0.19,625.0,1.830769231,0.0,0.0,2.0
25.69,28.13,25.13,25.94,156.0,244.0,77.0,59.0,0.73,0.79,0.28,0.19,630.0,1.9,0.0,1.0,2.0
25.69,28.06,25.13,26.0,156.0,243.0,77.0,59.0,0.81,0.42,0.28,0.21,630.0,2.042307692,1.0,0.0,2.0
25.69,27.88,25.13,26.0,156.0,240.0,79.0,60.0,0.88,0.66,0.29,0.21,625.0,2.019230769,1.0,1.0,2.0
25.69,27.81,25.13,26.0,156.0,241.0,79.0,60.0,0.71,0.4,0.22,0.16,635.0,2.065384615,1.0,1.0,2.0
25.69,27.75,25.13,26.0,155.0,239.0,79.0,59.0,0.72,0.66,0.24,0.21,635.0,2.030769231,1.0,1.0,2.0
25.69,27.94,25.13,26.06,155.0,242.0,77.0,60.0,0.52,0.7,0.69,0.2,635.0,1.961538462,1.0,1.0,2.0
25.63,28.0,25.13,26.06,156.0,243.0,78.0,60.0,0.71,0.69,0.25,0.17,630.0,1.811538462,1.0,1.0,2.0
25.69,28.19,25.13,26.06,156.0,243.0,79.0,61.0,0.75,0.55,0.61,0.17,635.0,1.676923077,1.0,0.0,2.0
25.69,28.13,25.13,26.06,157.0,244.0,80.0,61.0,0.21,0.27,0.13,0.14,635.0,1.557692308,1.0,0.0,2.0
25.69,28.13,25.13,26.06,156.0,244.0,80.0,62.0,0.62,0.12,0.24,0.07,635.0,1.407692308,1.0,0.0,2.0
25.69,28.19,25.13,26.06,155.0,243.0,80.0,59.0,0.83,0.17,0.06,0.12,635.0,1.226923077,1.0,0.0,2.0
25.69,28.19,25.13,26.06,155.0,242.0,78.0,59.0,0.19,0.4,0.21,0.12,640.0,1.111538462,1.0,0.0,2.0
25.69,28.13,25.13,26.06,155.0,242.0,77.0,60.0,0.18,0.06,0.07,0.07,645.0,1.111538462,0.0,0.0,2.0
25.69,28.0,25.19,26.06,156.0,244.0,80.0,61.0,0.5,0.26,0.24,0.15,650.0,1.080769231,1.0,0.0,2.0
25.69,28.13,25.13,26.0,156.0,244.0,81.0,63.0,1.53,0.37,0.18,0.08,645.0,1.019230769,1.0,0.0,2.0
25.69,28.13,25.13,26.0,157.0,244.0,82.0,63.0,0.8,0.37,0.14,0.18,650.0,1.026923077,0.0,0.0,2.0
25.69,28.31,25.13,26.0,156.0,243.0,81.0,63.0,0.62,0.7,0.24,0.16,640.0,0.915384615,0.0,0.0,2.0
25.69,28.31,25.19,26.0,157.0,244.0,81.0,62.0,0.33,0.41,0.2,0.1,640.0,0.834615385,1.0,0.0,2.0
25.69,28.38,25.13,26.06,157.0,244.0,80.0,62.0,2.36,0.63,0.46,0.37,645.0,0.834615385,1.0,0.0,2.0
25.69,28.5,25.19,26.06,156.0,244.0,80.0,61.0,0.25,0.23,0.24,0.06,645.0,0.869230769,0.0,0.0,2.0
25.69,28.5,25.19,26.0,156.0,244.0,80.0,61.0,0.64,0.17,0.12,0.08,640.0,0.846153846,0.0,0.0,2.0
25.69,28.5,25.19,26.06,156.0,243.0,80.0,60.0,0.08,0.05,0.06,0.06,645.0,0.861538462,0.0,0.0,2.0
25.69,28.44,25.19,26.0,155.0,242.0,79.0,60.0,0.08,0.07,0.05,0.06,640.0,0.819230769,0.0,0.0,2.0
25.75,28.38,25.19,26.06,155.0,242.0,78.0,60.0,0.13,0.1,0.06,0.07,645.0,0.765384615,0.0,0.0,2.0
25.69,28.25,25.19,26.0,156.0,242.0,79.0,62.0,0.09,0.11,0.09,0.06,645.0,0.696153846,0.0,0.0,2.0
25.69,28.44,25.19,26.0,156.0,244.0,81.0,62.0,0.5,0.13,0.11,0.07,640.0,0.615384615,1.0,0.0,2.0
25.69,28.38,25.19,26.06,156.0,243.0,80.0,61.0,0.8,0.21,0.16,0.14,640.0,0.526923077,1.0,0.0,2.0
25.69,28.38,25.19,26.0,155.0,242.0,190.0,60.0,0.57,0.15,0.77,0.19,645.0,0.426923077,1.0,0.0,2.0
25.69,28.44,25.19,26.0,156.0,244.0,190.0,64.0,1.12,0.49,0.77,0.25,645.0,0.411538462,1.0,1.0,3.0
25.75,28.56,25.19,26.06,158.0,245.0,205.0,65.0,0.91,0.29,2.83,0.29,650.0,0.434615385,1.0,1.0,3.0
25.75,28.56,25.25,26.06,159.0,246.0,214.0,66.0,0.55,0.23,1.01,0.48,645.0,0.4,1.0,1.0,3.0
25.75,28.63,25.25,26.06,159.0,246.0,220.0,63.0,0.58,0.5,3.64,0.62,655.0,0.4,1.0,1.0,3.0
25.75,28.56,25.31,26.06,159.0,244.0,224.0,65.0,0.83,0.36,2.15,0.85,655.0,0.430769231,1.0,1.0,3.0
